airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-05-09,Delhi,Cochin,17:30:00,19:00:00,1530,1.0,No Info,15554
Multiple Carriers,2019-05-15,Delhi,Cochin,08:45:00,19:15:00,630,1.0,No Info,8266
Multiple Carriers,2019-06-12,Delhi,Cochin,15:05:00,01:30:00,625,2.0,No Info,15965
Air India,2019-03-12,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,4435
Vistara,2019-06-21,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No Info,5613
Spicejet,2019-06-03,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No Info,3311
Jet Airways,2019-04-03,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,4544
Jet Airways,2019-03-06,Delhi,Cochin,07:05:00,04:25:00,1280,1.0,No Info,17234
Air India,2019-03-03,Delhi,Cochin,12:30:00,09:25:00,1255,1.0,No Info,16142
Indigo,2019-03-09,Banglore,New Delhi,20:00:00,22:55:00,175,0.0,No Info,6144
Indigo,2019-05-24,Mumbai,Hyderabad,21:20:00,22:50:00,90,0.0,No Info,2437
Jet Airways,2019-06-09,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,In-flight meal not included,10368
Indigo,2019-04-03,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,4174
Jet Airways,2019-06-09,Kolkata,Banglore,20:25:00,23:35:00,1630,1.0,No Info,12692
Multiple Carriers,2019-05-27,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No Info,7618
Jet Airways,2019-06-09,Delhi,Cochin,15:00:00,04:25:00,805,1.0,In-flight meal not included,10262
Vistara,2019-05-24,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,11982
Multiple Carriers,2019-05-21,Delhi,Cochin,02:15:00,11:50:00,575,1.0,No Info,14067
Jet Airways,2019-03-06,Banglore,New Delhi,08:00:00,19:10:00,670,1.0,No Info,16736
Spicejet,2019-05-12,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No Info,4423
Jet Airways,2019-03-01,Banglore,New Delhi,22:50:00,00:45:00,1555,1.0,No Info,26890
Multiple Carriers,2019-06-09,Delhi,Cochin,11:35:00,21:00:00,565,3.0,No Info,15629
Air India,2019-05-18,Delhi,Cochin,10:55:00,19:15:00,500,2.0,No Info,13486
Indigo,2019-06-01,Delhi,Cochin,08:30:00,21:00:00,750,1.0,No Info,6416
Jet Airways,2019-06-06,Delhi,Cochin,09:00:00,19:00:00,600,1.0,In-flight meal not included,10262
Multiple Carriers,2019-06-01,Delhi,Cochin,06:40:00,19:00:00,740,1.0,No Info,11200
Indigo,2019-06-01,Banglore,Delhi,00:25:00,03:15:00,170,0.0,No Info,4077
Jet Airways,2019-06-15,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,No Info,13014
Jet Airways,2019-05-09,Delhi,Cochin,11:30:00,19:00:00,450,1.0,No Info,15554
Jet Airways,2019-06-09,Kolkata,Banglore,20:00:00,12:00:00,960,1.0,In-flight meal not included,10844
Indigo,2019-03-18,Mumbai,Hyderabad,02:30:00,04:00:00,90,0.0,No Info,2754
Spicejet,2019-05-21,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No Info,3625
Multiple Carriers,2019-05-21,Delhi,Cochin,11:30:00,19:15:00,465,1.0,No Info,14848
Jet Airways,2019-05-15,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,In-flight meal not included,10844
Multiple Carriers,2019-05-18,Delhi,Cochin,12:50:00,21:00:00,490,1.0,No Info,7670
Jet Airways,2019-06-21,Banglore,Delhi,18:55:00,22:00:00,185,0.0,No Info,8541
Air India,2019-05-12,Banglore,Delhi,17:00:00,19:45:00,165,0.0,No Info,5438
Air India,2019-05-09,Kolkata,Banglore,12:00:00,07:55:00,1195,2.0,No Info,9416
Multiple Carriers,2019-06-01,Delhi,Cochin,04:55:00,19:15:00,860,1.0,No Info,8835
Spicejet,2019-05-18,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3873
Spicejet,2019-06-03,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Indigo,2019-04-21,Delhi,Cochin,07:35:00,12:10:00,275,1.0,No Info,5703
Indigo,2019-05-03,Chennai,Kolkata,11:35:00,14:00:00,145,0.0,No Info,4332
Multiple Carriers,2019-05-18,Delhi,Cochin,10:35:00,19:15:00,520,1.0,No Info,8309
Jet Airways,2019-05-18,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,5198
Jet Airways,2019-03-21,Delhi,Cochin,02:15:00,04:25:00,1570,1.0,No Info,12719
Jet Airways,2019-05-27,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No Info,15129
Spicejet,2019-04-06,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Multiple Carriers,2019-03-21,Delhi,Cochin,07:30:00,15:30:00,480,1.0,No Info,11269
Multiple Carriers,2019-06-27,Delhi,Cochin,14:55:00,22:30:00,455,1.0,In-flight meal not included,6093
Jet Airways,2019-05-06,Kolkata,Banglore,18:55:00,10:05:00,910,1.0,No Info,13584
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,No Info,14571
Multiple Carriers,2019-06-09,Delhi,Cochin,11:40:00,21:00:00,560,1.0,No Info,7005
Jet Airways,2019-05-18,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,In-flight meal not included,13029
Indigo,2019-04-09,Delhi,Cochin,10:35:00,01:30:00,895,1.0,No Info,6270
Multiple Carriers,2019-05-15,Delhi,Cochin,06:00:00,19:00:00,780,1.0,No Info,9794
Jet Airways,2019-06-27,Delhi,Cochin,12:15:00,12:35:00,1460,2.0,No Info,14300
Jet Airways,2019-06-06,Delhi,Cochin,18:15:00,19:00:00,1485,1.0,No Info,14714
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,23:35:00,1585,1.0,In-flight meal not included,10844
Jet Airways,2019-05-01,Kolkata,Banglore,14:05:00,12:00:00,1315,1.0,In-flight meal not included,9663
Jet Airways,2019-05-09,Kolkata,Banglore,17:00:00,23:35:00,395,1.0,No Info,10624
Air India,2019-03-06,Mumbai,Hyderabad,09:40:00,15:15:00,1775,2.0,No Info,25139
Multiple Carriers,2019-06-01,Delhi,Cochin,17:00:00,01:30:00,510,1.0,No Info,7408
Jet Airways,2019-03-09,Delhi,Cochin,17:25:00,04:25:00,660,1.0,In-flight meal not included,11848
Air India,2019-06-12,Kolkata,Banglore,16:50:00,07:55:00,905,1.0,No Info,8366
Jet Airways,2019-05-21,Kolkata,Banglore,20:00:00,12:00:00,960,1.0,No Info,14781
Indigo,2019-03-09,Delhi,Cochin,04:55:00,12:00:00,425,1.0,No Info,6171
Multiple Carriers,2019-06-24,Delhi,Cochin,08:45:00,19:00:00,615,1.0,No Info,12524
Jet Airways,2019-05-27,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,In-flight meal not included,13029
Indigo,2019-05-03,Mumbai,Hyderabad,02:35:00,04:05:00,90,0.0,No Info,2754
Air Asia,2019-06-15,Delhi,Cochin,07:55:00,22:25:00,870,1.0,No Info,6253
Air India,2019-03-24,Banglore,New Delhi,21:05:00,23:55:00,170,0.0,No Info,4441
Spicejet,2019-06-24,Delhi,Cochin,06:05:00,11:20:00,315,1.0,No Info,5583
Jet Airways,2019-05-09,Delhi,Cochin,20:00:00,04:25:00,505,2.0,In-flight meal not included,15318
Air India,2019-03-01,Banglore,New Delhi,11:50:00,08:55:00,1265,1.0,1 Long layover,14594
Jet Airways,2019-05-21,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No Info,16079
Goair,2019-05-21,Delhi,Cochin,07:25:00,13:20:00,355,1.0,No Info,5842
Multiple Carriers,2019-06-03,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No Info,13797
Indigo,2019-05-18,Banglore,Delhi,13:00:00,15:50:00,170,0.0,No Info,4423
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,19:40:00,345,1.0,In-flight meal not included,11134
Jet Airways,2019-06-03,Delhi,Cochin,10:00:00,04:25:00,1105,1.0,In-flight meal not included,11627
Jet Airways,2019-06-09,Delhi,Cochin,21:50:00,04:25:00,395,1.0,In-flight meal not included,10262
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,08:15:00,665,1.0,In-flight meal not included,11841
Jet Airways,2019-06-09,Kolkata,Banglore,17:00:00,22:05:00,1745,1.0,In-flight meal not included,10539
Jet Airways,2019-05-21,Delhi,Cochin,20:00:00,04:25:00,505,2.0,No Info,16263
Spicejet,2019-03-09,Banglore,New Delhi,09:35:00,12:30:00,175,0.0,No Info,6205
Air India,2019-05-21,Kolkata,Banglore,12:00:00,11:10:00,1390,2.0,No Info,10676
Spicejet,2019-05-09,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No check-in baggage included,1965
Vistara,2019-05-24,Kolkata,Banglore,17:00:00,09:05:00,965,1.0,No Info,10027
Jet Airways,2019-05-09,Delhi,Cochin,09:40:00,19:00:00,560,2.0,In-flight meal not included,13029
Multiple Carriers,2019-05-15,Delhi,Cochin,12:50:00,19:15:00,385,1.0,No Info,8266
Indigo,2019-06-12,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No Info,4804
Indigo,2019-06-15,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No Info,5883
Jet Airways,2019-05-27,Banglore,Delhi,18:55:00,22:00:00,185,0.0,No Info,7229
Multiple Carriers,2019-06-01,Delhi,Cochin,18:00:00,01:30:00,450,1.0,No Info,7933
Indigo,2019-06-06,Delhi,Cochin,07:35:00,12:10:00,275,1.0,No Info,5458
Jet Airways,2019-05-21,Kolkata,Banglore,09:35:00,21:05:00,690,1.0,No Info,14151
Indigo,2019-05-15,Delhi,Cochin,21:50:00,03:35:00,345,1.0,No Info,7189
Jet Airways,2019-05-06,Kolkata,Banglore,16:30:00,04:40:00,730,1.0,In-flight meal not included,8586
Multiple Carriers,2019-03-21,Delhi,Cochin,11:30:00,18:50:00,440,1.0,No Info,11622
Air India,2019-05-15,Kolkata,Banglore,07:00:00,16:15:00,555,1.0,No Info,11936
Jet Airways,2019-04-06,Delhi,Cochin,13:00:00,19:00:00,360,1.0,In-flight meal not included,5177
Air India,2019-03-03,Banglore,New Delhi,11:05:00,22:10:00,2105,2.0,No Info,11948
Indigo,2019-06-09,Delhi,Cochin,14:20:00,17:35:00,195,0.0,No Info,5601
Air India,2019-05-27,Delhi,Cochin,03:50:00,19:15:00,925,1.0,No Info,9719
Multiple Carriers,2019-03-09,Delhi,Cochin,07:05:00,16:10:00,545,1.0,No Info,6916
Jet Airways,2019-06-01,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No Info,8016
Jet Airways,2019-06-06,Delhi,Cochin,06:45:00,04:25:00,1300,2.0,No Info,13376
Jet Airways,2019-05-15,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,In-flight meal not included,12384
Indigo,2019-05-15,Delhi,Cochin,07:15:00,12:30:00,315,1.0,No Info,5636
Air India,2019-05-21,Kolkata,Banglore,09:50:00,23:15:00,805,3.0,No Info,14960
Jet Airways,2019-06-09,Kolkata,Banglore,16:30:00,04:40:00,730,1.0,No Info,13731
Jet Airways,2019-05-27,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,In-flight meal not included,4050
Multiple Carriers,2019-05-18,Delhi,Cochin,07:05:00,19:15:00,730,1.0,No Info,14533
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,04:40:00,585,1.0,In-flight meal not included,7064
Jet Airways,2019-05-21,Kolkata,Banglore,14:05:00,04:40:00,875,1.0,No Info,14388
Multiple Carriers,2019-06-03,Delhi,Cochin,06:40:00,19:00:00,740,1.0,No Info,10877
Spicejet,2019-03-01,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,7298
Indigo,2019-03-09,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4148
Jet Airways,2019-03-24,Banglore,New Delhi,19:55:00,22:35:00,160,0.0,No Info,8016
Indigo,2019-05-03,Chennai,Kolkata,05:15:00,07:40:00,145,0.0,No Info,3850
Spicejet,2019-06-06,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No check-in baggage included,3543
Jet Airways,2019-03-21,Banglore,New Delhi,08:00:00,23:00:00,900,1.0,In-flight meal not included,7832
Indigo,2019-03-15,Mumbai,Hyderabad,20:05:00,21:35:00,90,0.0,No Info,2754
Indigo,2019-06-03,Kolkata,Banglore,15:30:00,18:05:00,155,0.0,No Info,4804
Jet Airways,2019-05-21,Delhi,Cochin,16:00:00,19:00:00,1620,1.0,No Info,16079
Air India,2019-03-27,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No Info,6902
Jet Airways,2019-04-18,Banglore,Delhi,18:55:00,22:00:00,185,0.0,No Info,7229
Indigo,2019-06-03,Mumbai,Hyderabad,01:40:00,03:10:00,90,0.0,No Info,2754
Multiple Carriers,2019-03-27,Delhi,Cochin,09:10:00,19:15:00,605,1.0,No Info,10667
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,23:35:00,395,1.0,In-flight meal not included,12384
Multiple Carriers,2019-03-03,Delhi,Cochin,08:55:00,21:00:00,725,1.0,No Info,15147
Air India,2019-04-09,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,8341
Air India,2019-05-18,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No Info,3100
Jet Airways,2019-03-24,Banglore,New Delhi,05:45:00,10:45:00,300,1.0,In-flight meal not included,8147
Jet Airways,2019-05-27,Delhi,Cochin,19:30:00,12:35:00,1025,2.0,No Info,15129
Jet Airways,2019-06-09,Kolkata,Banglore,09:35:00,21:05:00,690,1.0,In-flight meal not included,13994
Indigo,2019-04-01,Kolkata,Banglore,21:00:00,02:15:00,315,1.0,No Info,5930
Jet Airways,2019-06-03,Delhi,Cochin,13:00:00,19:00:00,360,1.0,No Info,14714
Goair,2019-06-18,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No Info,3419
Indigo,2019-04-27,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No Info,4804
Jet Airways,2019-06-24,Delhi,Cochin,18:15:00,19:00:00,1485,1.0,In-flight meal not included,10262
Jet Airways,2019-05-21,Delhi,Cochin,14:00:00,12:35:00,1355,1.0,In-flight meal not included,12898
Air India,2019-04-06,Banglore,Delhi,06:10:00,08:55:00,165,0.0,No Info,5176
Air India,2019-04-09,Kolkata,Banglore,14:35:00,14:35:00,1440,1.0,No Info,5006
Multiple Carriers,2019-06-27,Delhi,Cochin,10:20:00,19:15:00,535,1.0,No Info,7741
Multiple Carriers,2019-03-06,Delhi,Cochin,07:10:00,21:20:00,850,2.0,In-flight meal not included,7731
Indigo,2019-03-21,Delhi,Cochin,04:45:00,13:20:00,515,1.0,No Info,7738
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,18:15:00,1400,1.0,No Info,12681
Air Asia,2019-05-15,Kolkata,Banglore,15:10:00,23:30:00,500,2.0,No Info,5192
Vistara,2019-03-06,Delhi,Cochin,14:55:00,17:50:00,175,0.0,No Info,8001
Jet Airways,2019-06-06,Delhi,Cochin,18:25:00,04:25:00,600,2.0,In-flight meal not included,12142
Jet Airways,2019-05-27,Delhi,Cochin,10:00:00,04:25:00,1105,1.0,In-flight meal not included,12898
Jet Airways,2019-03-18,Banglore,New Delhi,21:25:00,09:30:00,725,1.0,No Info,13555
Indigo,2019-04-03,Kolkata,Banglore,19:20:00,23:45:00,265,1.0,No Info,3480
Jet Airways,2019-05-18,Delhi,Cochin,13:00:00,19:00:00,360,1.0,In-flight meal not included,12373
Jet Airways,2019-03-21,Delhi,Cochin,05:30:00,18:50:00,2240,2.0,No Info,12341
Goair,2019-04-24,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No Info,4632
Jet Airways,2019-05-09,Kolkata,Banglore,17:00:00,18:00:00,1500,1.0,No Info,10624
Jet Airways,2019-06-12,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,3210
Jet Airways,2019-06-27,Delhi,Cochin,09:40:00,19:00:00,560,2.0,In-flight meal not included,10368
Indigo,2019-05-09,Kolkata,Banglore,06:20:00,10:20:00,240,1.0,No Info,4226
Multiple Carriers,2019-06-01,Delhi,Cochin,08:45:00,21:00:00,735,1.0,No Info,7740
Goair,2019-03-03,Banglore,New Delhi,15:45:00,20:15:00,270,1.0,No Info,8352
Jet Airways,2019-05-12,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,In-flight meal not included,8586
Multiple Carriers,2019-06-27,Delhi,Cochin,10:00:00,21:00:00,660,1.0,No Info,13587
Jet Airways,2019-03-21,Banglore,New Delhi,11:40:00,07:40:00,1200,1.0,In-flight meal not included,7832
Vistara,2019-05-18,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No Info,4878
Spicejet,2019-05-12,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,3597
Jet Airways,2019-05-21,Kolkata,Banglore,18:55:00,16:20:00,1285,1.0,In-flight meal not included,10844
Multiple Carriers,2019-03-03,Delhi,Cochin,10:20:00,21:00:00,640,1.0,No Info,15147
Air India,2019-06-03,Delhi,Cochin,12:00:00,07:40:00,1180,2.0,No Info,8603
Vistara,2019-06-09,Kolkata,Banglore,17:00:00,20:20:00,1640,1.0,No Info,8610
Indigo,2019-06-01,Delhi,Cochin,17:05:00,22:25:00,320,1.0,No Info,7060
Indigo,2019-06-24,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,4804
Jet Airways,2019-03-21,Banglore,New Delhi,05:45:00,23:00:00,1035,1.0,In-flight meal not included,7832
Spicejet,2019-06-21,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,3597
Vistara,2019-06-15,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No Info,4878
Jet Airways,2019-06-09,Kolkata,Banglore,06:30:00,19:50:00,800,1.0,In-flight meal not included,10844
Vistara,2019-05-27,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No Info,4668
Air India,2019-05-24,Kolkata,Banglore,07:00:00,20:25:00,805,1.0,No Info,10413
Indigo,2019-06-09,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,No Info,3175
Spicejet,2019-06-15,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No Info,2753
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,In-flight meal not included,7064
Multiple Carriers,2019-05-21,Delhi,Cochin,18:15:00,01:30:00,435,1.0,No Info,14067
Indigo,2019-03-03,Banglore,New Delhi,18:55:00,21:45:00,170,0.0,No Info,8855
Spicejet,2019-05-24,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No check-in baggage included,3257
Air Asia,2019-03-01,Kolkata,Banglore,19:35:00,22:05:00,150,0.0,No Info,5964
Spicejet,2019-05-18,Kolkata,Banglore,15:05:00,20:20:00,315,1.0,No Info,4963
Jet Airways,2019-05-15,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,In-flight meal not included,11841
Multiple Carriers,2019-06-12,Delhi,Cochin,10:20:00,19:15:00,535,1.0,No Info,8266
Indigo,2019-03-15,Banglore,New Delhi,21:20:00,00:15:00,175,0.0,No Info,8033
Air India,2019-06-09,Delhi,Cochin,14:25:00,19:15:00,1730,2.0,No Info,13381
Multiple Carriers,2019-06-01,Delhi,Cochin,10:00:00,01:30:00,930,1.0,No Info,7198
Multiple Carriers,2019-06-12,Delhi,Cochin,10:20:00,19:00:00,520,1.0,No Info,11789
Jet Airways,2019-05-12,Kolkata,Banglore,16:30:00,12:00:00,1170,1.0,In-flight meal not included,10844
Air India,2019-05-01,Kolkata,Banglore,19:00:00,11:05:00,965,1.0,No Info,6117
Multiple Carriers,2019-06-01,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No Info,13377
Indigo,2019-03-21,Delhi,Cochin,06:40:00,21:00:00,860,1.0,No Info,8784
Vistara,2019-03-18,Banglore,New Delhi,19:40:00,22:20:00,160,0.0,No Info,12123
Jet Airways,2019-03-24,Mumbai,Hyderabad,07:10:00,08:35:00,85,0.0,No Info,5678
Jet Airways,2019-05-12,Kolkata,Banglore,06:30:00,19:50:00,800,1.0,In-flight meal not included,8586
Indigo,2019-03-03,Banglore,New Delhi,21:20:00,00:15:00,175,0.0,No Info,6144
Indigo,2019-05-03,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Jet Airways,2019-03-18,Banglore,New Delhi,22:50:00,08:15:00,565,1.0,In-flight meal not included,11087
Air India,2019-03-01,Banglore,New Delhi,17:00:00,23:10:00,370,1.0,No Info,11628
Goair,2019-03-09,Banglore,New Delhi,11:40:00,14:35:00,175,0.0,No Info,7305
